WA* cost, WA* nodes gen, WA* nodes ex, GUCT cost, GUCT nodes gen, GUCT nodes ex, GUCT* cost, GUCT* nodes gen, GUCT* nodes ex
565.0,2217381,100790,-1.0,0,0,514.0,30625,1392,
476.0,378313,17196,-1.0,0,0,497.0,25961,1180,
524.0,1333003,60591,-1.0,0,0,544.0,34387,1563,
467.0,52691,2395,-1.0,0,0,523.0,32891,1495,
493.0,15489,704,-1.0,0,0,584.0,39051,1775,
485.0,265805,12082,-1.0,0,0,506.0,34717,1578,
449.0,9502879,431949,-1.0,0,0,466.0,27567,1253,
515.0,448251,20375,-1.0,0,0,548.0,29393,1336,
432.0,32165,1462,-1.0,0,0,455.0,22639,1029,
447.0,245697,11168,-1.0,0,0,515.0,31593,1436,
378.0,2333,106,-1.0,0,0,389.0,29767,1353,
457.0,1651,75,-1.0,0,0,513.0,35377,1608,
469.0,768857,34948,-1.0,0,0,436.0,28095,1277,
505.0,67189,3054,-1.0,0,0,473.0,30999,1409,
544.0,13262811,602855,-1.0,0,0,463.0,21231,965,
371.0,4687,213,-1.0,0,0,396.0,21759,989,
472.0,1080949,49134,-1.0,0,0,553.0,36675,1667,
489.0,62855,2857,-1.0,0,0,504.0,31153,1416,
511.0,318583,14481,-1.0,0,0,429.0,22177,1008,
367.0,477269,21694,-1.0,0,0,344.0,19603,891,
430.0,12441749,565534,-1.0,0,0,404.0,18547,843,
508.0,1656227,75283,-1.0,0,0,532.0,37885,1722,
439.0,966527,43933,-1.0,0,0,466.0,26005,1182,
452.0,124939,5679,-1.0,0,0,480.0,27237,1238,
471.0,1196537,54388,-1.0,0,0,490.0,28667,1303,
367.0,190983,8681,-1.0,0,0,425.0,30053,1366,
503.0,53681,2440,-1.0,0,0,446.0,29833,1356,
486.0,553059,25139,-1.0,0,0,558.0,33375,1517,
475.0,104171,4735,-1.0,0,0,436.0,23387,1063,
489.0,3427183,155781,-1.0,0,0,465.0,25565,1162,
477.0,461275,20967,520.0,6976861,317130,510.0,36103,1641,
437.0,6557,298,-1.0,0,0,457.0,25103,1141,
494.0,355323,16151,-1.0,0,0,569.0,37907,1723,
428.0,500611,22755,-1.0,0,0,479.0,36103,1641,
379.0,143045,6502,-1.0,0,0,370.0,21319,969,
561.0,28997,1318,-1.0,0,0,494.0,30537,1388,
545.0,3166219,143919,-1.0,0,0,501.0,29569,1344,
485.0,26313,1196,-1.0,0,0,456.0,29635,1347,
473.0,3126531,142115,-1.0,0,0,436.0,24267,1103,
483.0,1799469,81794,-1.0,0,0,462.0,27347,1243,
493.0,3395151,154325,-1.0,0,0,469.0,26753,1216,
490.0,132265,6012,-1.0,0,0,429.0,27501,1250,
511.0,387905,17632,-1.0,0,0,561.0,38435,1747,
480.0,2243143,101961,-1.0,0,0,486.0,35311,1605,
485.0,265805,12082,-1.0,0,0,506.0,34717,1578,
448.0,754029,34274,-1.0,0,0,460.0,33727,1533,
414.0,239075,10867,-1.0,0,0,393.0,23167,1053,
419.0,3085127,140233,-1.0,0,0,475.0,28051,1275,
421.0,577347,26243,-1.0,0,0,415.0,26885,1222,
